,content,score,English
0,Berguna banget.....,5,Very useful.....
1,"coba coba dan coba, apapun pasti kita bisa,,,",5,"try try and try, whatever we can do,,,"
2,Oke google,4,"Okay, Google"
3,Ok,5,Ok
4,Sangat bermanfaat,5,Very helpful
5,Aplikasi yang sangat membantu di masa pandemi tapi sayang walaupun android versi 8 lebih tetep ga bisa pakai virtual background hmmmmmmm,4,"An application that is very helpful during the pandemic but unfortunately even though Android version 8 is more, it still can't use virtual backgrounds hmmmmmm"
6,Bagus bisa ketemuan sama temenku lewat apk ini,5,It's good to be able to meet my friends through this apk
7,Pokok nya bagus :),5,Nice tree :)
8,Bolehlah,5,may I
9,bagus banget????????????????,5,really good????????????????
10,Lemotttttt,1,Lemotttt
11,Bagussss,5,nicesss
12,Bagus ??,1,Good ??
13,Riet,1,Riet
14,Ok,5,Ok
15,Aplikasi ini sangat jelek,5,This app is so ugly
16,Memudahkan,5,make it easy
17,Kenapa saya tidak bisa ganti background?,2,Why can't I change the background?
18,Berguna Buat Sekolah Juga Bisa??????,5,Useful For Schools Can Also?????
19,Gege gemiing,5,Gege gemiing
20,Saya suka dengan aplikasi ini,1,I like this app
21,Mantap,5,Great
22,Sangat bermanfaat,5,Very helpful
23,"Bagus, tapi sekarang bisa via G-Mail jadi kaga usa instal",5,"Good, but now it can be via EMail so you don't have to install it"
24,Ok,5,Ok
25,Lumayan buat anak sekolahh,4,Great for school kids
26,Puas hati,3,Satisfied
27,Bocil epepe menguasai playstore,5,Bocil epep dominates the play store
28,"Okehh,bagus",5,"OK, good"
29,Bjirr,1,Bjirr
30,"Terima kasih, dengan ada gmeet saya masih bisa belajar dan bertemu dengan teman dan dosen walaupun hanya secara virtual. Aplikasi ini sangat membantu, terutama di tengah situasi pandemi seperti sekarang.",5,"Thank you, with Gmeet I can still learn and meet friends and lecturers, even if only virtually. This application is very helpful, especially in the midst of a pandemic situation like now."
31,Aplikasi ini ssngat membsntu,1,This app is very helpful
32,Mudah diakses,5,Easy to access
33,??,5,??
34,Bgs,5,Bgs
35,Makasih gogle meet jadi bisa belajar,5,Thank you google meet so I can learn
36,Good,5,good
37,"bagus bagus, updatannya, tp usul saran klo bisa waktu fullscreen yg frame kecilnya itu ditampilkan speakernya (org yg ngomong)",4,"it's good, it's an update, but I suggest a suggestion if you can when fullscreen, the small frame is displayed by the speaker (the person who spoke)"
38,Bags,5,Bags
39,Bagus,3,Good
40,Sinyal bagus. Kenap muter terus. Gak bisa down load,1,Good signal. Why do you keep playing? Can't download
41,good,5,good
42,Aplikasi burik,1,dotted app
43,"Kadang"" masih ngebug??",1,"Sometimes ""still buggy??"
44,I like this apl so good,5,I like this app so good
45,Ajib benr dah,5,It's really good
46,Terimakasih aplikasi nya bermanfaat. Bagus banget buat ketemu secara virtual,5,Thank you for the useful application. It's great to meet virtually
47,Aneh gak bisa di instal,1,Strange can't be installed
48,Makmun,4,Congregation
49,"simple, mudah diakses dan berguna bagi setiap orang yang menginginkan aktifitas virtual dengan teman dan kolega. patut dicoba dan apreciate to google meet team!",5,"simple, accessible and useful for everyone who wants virtual activities with friends and colleagues. worth a try and apreciate to google meet team!"
50,nice,5,nice
51,Ok,5,Ok
52,Bagus banget,5,Really good
53,Gembel,5,Poor
54,ok,4,ok
55,Suka suka,5,Up to
56,Gk bagus aplikasi nya,5,It's not a good app
57,Membantu tatap muka secara virtual dimasa pandemi. Hanya mungkin penggunaan data yg lbh tinggi,4,Help face to face virtually during the pandemic. Only higher data usage possible
58,"menurutku G-Meet lebih mudah, hemat c daripada sebelah :)",5,"I think G-Meet is easier, saves c than next door :)"
59,Mantap pertahankan terus,4,Nice keep it up
60,Untuk kualitas nya bagus bikin link nya juga gampang banget dari pada zoom,5,"The quality is good, making the link is also very easy than zooming"
61,Ok,5,Ok
62,Terima kasih,5,Thank you
63,Ok,5,Ok
64,Bagus??,5,Good??
65,Mantap,5,Great
66,Mantap,5,Great
67,Ok bgt tuk membantu ortu di rumah biar anak bisa belajar bertatap muka dg guru,5,It's ok to help parents at home so that children can learn face to face with the teacher
68,MSih sering mati,2,Still often die
69,??,5,??
70,gimana ya saya download hapus terus hahay sorry wkwkkw btw gift skin collector dong google meet masa pelanggan setia ngk dikasih skin ??,5,how do I download it and delete it hahaha sorry wkwkwk btw gift skin collector dong google meet when loyal customers aren't given skins??
71,Baguss,5,nice
72,Ga mau apa apa cuman mau komen,1,"I don't want anything, I just want to comment"
73,Bagus,1,Good
74,sangat bagus,5,very good
75,Sangat Membantu,5,Very helpful
76,Aplikasinya bagus aku suka,5,Nice app I like it
77,Saya punya embek,5,I have duck
78,Dasar apk ngak berguna!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Tapi boong apk nya berguna,5,Basic useless apk!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! But Boong the apk is useful
79,Ok,5,Ok
80,Mantaps,5,great
81,Sangat cocok untuk profesi saya sebagai Guru Pendidikan Agama Buddha di Sekolah ??,5,It is very suitable for my profession as a Buddhist Education Teacher at School ??
82,Bagusssss,5,nicesss
83,Bagus juga ya saya jadi bisa bljr onnline dan bisa bertemu dengan guru dan teman teman selamat mencoba semoga betah,5,"It's also good, so I can learn online and can meet teachers and friends, good luck, I hope you feel at home"
84,Saran saya tolong tambahkan subtitle bahasa indonesia,5,"My suggestion, please add Indonesian subtitles"
85,mantap ni aplikasi nya sangat burik !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! tapi boong aplikasinya bagus,1,this is great the application is very dotted !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!! but boo the app is good
86,okey,4,okay
87,Bagus,5,Good
88,Good,5,good
89,Amat meperlancar pekerjaanku,5,Drugs make work easier
90,Baik,5,Well
91,Mantap,5,Great
92,Nakana,5,Nakana
93,Aplikasi ini bisa buat belajar video call juga,5,This application can be used to learn video calls too
94,Ga bisa di geser untuk memantau yang lainnya menyalakan kamera atau tidaknya. Tolong di perbaiki,3,Can't slide it to monitor others turning on the camera or not. Please fix
95,Sangatvbantu,5,very helpful
