,content,score,English
0,Mantap,5,Great
1,Bagus,5,Good
2,Tidak mau rerpake,1,Don't want to use
3,Mirror nya gabisa disetting pdhal udah say off kan tpi tetep mirror,2,"The mirror can't be set even though I've said it off, but it's still mirrored"
4,Kok susah ya konecnya ke ??selamat beraktifitas..,5,How come it's hard to connect to ??happy activity..
5,Bagusss ss sssssssssss,5,Good ss ssssssssss
6,Aplikasi ini sangat membantu bagi pelajar seperti saya yang sekolah secara online / daring :!!!!!!!!!!!!!!!!!!!!!!?????,5,This application is very helpful for students like me who study online / online :!!!!!!!!!!!!!!!!!!!!!!?????
7,Bagus banget aplikasi iniiìiiiiiiiiiii,5,This application is really good iiiiiiiiiiiiiii
8,ok,5,ok
9,The best........,5,The best........
10,"Aplikasi ini sangat bagus saya suka banget,dan membantu saya belajar online dengan sangat bagus ., !!!",5,"This application is very good, I really like it, and it helps me learn online very well.,!!!"
11,Bagus,5,Good
12,Bagus tapi virtual background nya belum merata ke semua hp,3,Good but the virtual background is not evenly distributed to all cellphones
13,"Aplikasinya sudah bagus, saran sy tambahkan untuk pilihan bahasa indonesia,terimakasih!",4,"The application is good, my suggestion is to add it to the Indonesian language option, thank you!"
14,Makasih membantu kami utk daring,5,Thanks for helping us to go online
15,Iya,5,Yes
16,Luar biasa,2,Extraordinary
17,Keren sekali,5,Very cool
18,bagus bangettt,5,very good
19,Baguuusssss,5,nice
20,Mantap berguna banget nih aplikasi,5,"Great, this application is very useful"
21,Waw butut sekali,5,Wow so ugly
22,Bagus sekali,5,Very good
23,Aplikasix bagus banget,5,Very good application
24,??,5,??
25,jngan ada iklan,3,no ads
26,Mantab,3,great
27,Bagys,5,Good
28,"Apk ini sangat.................................................................................................................................,...........,...........,.....,...........,.................................................................................................................................................................... . .................................................................. Membingungkan bikin pusing Cara daftarnya. Aduh",5,"This app is very............................................... ................................................................. .................................,................,...... .......,...............,.................................. ................................................................. ................................................................. ............................................... . ................................................................. ................ Confusing makes dizzy How to register. Ouch"
29,Aplikasinya jelek disuruh belajar terus ama ibu guru,1,"The application is bad, I was told to continue learning from the teacher"
30,Baik,5,Well
31,Jelek banget,1,Really ugly
32,apk ini sangat membantu tapi susah dimengerti,3,this apk is very helpful but hard to understand
33,??,5,??
34,"harus install gara"" guru ´?????`",5,"have to install because"" teacher ?????`"
35,Bagus banget ????,5,Really good ????
36,Sy tdk bs mmki background dsr,3,I can't have a DSR background
37,Sangat bagus untuk saya yang masi belajar online!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!¡!!!!!!!!!!!!!¡,5,Very good for me who is still learning online!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡
38,Kok apk ny gk bsa di buka ya? Tolong di perbaiki,2,How come the apk can't be opened? Please fix
39,Wuhh edann,5,Wow crazy
40,Setiap sigh up selalu ada tulisan tidak layak terua udh login ulang email tanggal lahir segala tetep ga bisa. Liat tutor yt tetep gabisa. Kenapa aku gabisa sigh up? Tulisan nya tidak layak terus. Malah pusing sendiri,1,"Every sigh up there is always an inappropriate message, the oldest has been re-login, email, date of birth, everything still doesn't work. Looking at the tutorial, it still doesn't work. Why can't I sigh up? His writing is not worth it. Even dizzy"
41,Ada bug gara gara zoom saya banyak tugas dari sekolah perbaiki bug itu,1,"There is a bug because of my zoom, I have a lot of work from school, fix that bug"
42,Sangat bermanfaat untuk meeting online,5,Very useful for online meetings
43,Ok,5,Ok
44,Maknyoooss,5,Maknyooss
45,Sangat membantu dalam komunikasi bisnis dan publik,4,Very helpful in business and public communication
46,Bagusss sangat bagusssss,5,nicessssssssssssssssss
47,Bagus banget apl nya buat kita meeting,5,The app is really good for our meeting
48,Bagus banget ?? buat jangan lupa di download ya ??,5,"Really good ?? don't forget to download, okay??"
49,kerennnnnnnnnnnn wuhhhhhh asikklll,5,coolnnnnnnnn wuhhhhhhh cool
50,"Gara"" apk ini saya dapat tugas banyak dari sekolahan terimakasih ??",1,"Because of this apk I got a lot of assignments from school, thank you??"
51,"Mantap,,,",5,"Great,,,"
52,Sangat bagus sekali!!!!!!!!!!!!!!!!!!!!!!!!!!,5,Very good!!!!!!!!!!!!!!!!!!!!!!!!!!
53,??,5,??
54,bntng 1 dlu,1,1 star first
55,Mengapa saya tidak bisa mendownload walaupun sudah pakai jaringa internet yang bagus,1,Why can't I download even though I'm using a good internet network
56,Okeee,5,Okaye
57,Apk bagus,5,Nice app
58,Aplikasi ini b aja,5,Just this application
59,Terimakasih sangat membantu????,5,Thank you very helpful????
60,Kenap download nya lama dan kadang kadang force close,1,Why does the download take so long and sometimes force close
61,Memudahkan kita untuk sekolah,5,Makes it easier for us to go to school
62,Aplikasi yang bikin ke percayaaan diri gua ilang ??,1,Applications that make me lose my confidence?
63,Gak bisa didwonlad aplikasi zoom,5,Can't download the zoom app
64,tolong dong saya gabisa instal dri kemarin knp ya karna penting bngt saya dipake untuk sekola,5,"Please help, I can't install it since yesterday, why is it because it's very important that I use it for school"
65,bagus banget,2,really good
66,Kadang gak bisa masuk ke linknya,4,Sometimes I can't get to the link
67,udah Download malah gagal,2,already downloaded but failed
68,Sangat berguna,5,Very useful
69,Halah bawok,1,hello bawok
70,Nelpon,1,call
71,Jlk!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!tapi boonggg bagus kokkkkk,5,JL!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!! but it's boonggg good
72,"Mohon banget aplikasinya diperbaiki, masa saya login malah keluar terus. Kadang juga susah bener nyalain suara. Suka eror. Apalagi di background ga bisa di semua android. Mohon diperbaiki semuanya!!",1,"Please fix the application, when I log in it keeps coming out. Sometimes it's hard to really turn on the sound. Like error. Moreover, it can't work in the background on all androids. Please fix everything!!"
73,Baik sekali,5,Very well
74,Mantab,5,great
75,Bagus banget nih apk nya sumpah........................................................................................................ ................................................................. ................................................................. ..........................................................................................................................................................................................tapi boong. Apknya boros Kouta ajg,5,"This apk is very good, I swear.............................................................. ................................................................. .......... .................................................. ............................... ................................. ......................................... .......... ................................................................. ................................................................. ................................................................. ..........................but boo. The apk is wasteful, Kouta too"
76,Mengapa sy ga bs buka Zoom ? Sy ga ada Wifi? Sy lansia mau ada acara Zoom Meeting sesama lansia tp gmn sy ga bs buka neh ..?,3,"Why can't I open Zoom? I don't have wifi? I'm elderly, I want to have a Zoom Meeting with the elderly, but how can I not open it?"
77,Keren,5,Cool
78,Mantap,5,Great
79,Seru,5,Exciting
80,Ko saya mau daftar ga bisa²,2,How come I want to register can't
81,Zoom ini bagus sekali saat belajar daring atau pun ibadah online,5,This zoom is great for online learning or online worship
82,kenapa ya saya gak bisa masuk pake gmail juga tidak bisa tolong di perbaiki,1,why can't I log in using gmail and can't please fix it
83,Useful,5,Useful
84,Gak bagus mendingan belajar disekolah,1,It's not good to study at school
85,"Kok ini gakbisa log-in mulu padahal udah mau mulai NII,kemaren jg sampe ketinggalan karena gak bisa log-in??",1,"How come I can't log in at first even though I was about to start NII, yesterday I missed it because I couldn't log in??"
86,Yaampun!!!!!!! Gede banget sumpah ????,5,Geez!!!!!!! Very big I swear????
87,Saat mendownload aplikasi ini saya sangat kesusahan dan bingung kenapa nggak bisa2 gitu dan sampai sekarang belum bisa juga,5,When I downloaded this application I was very troubled and confused why I couldn't do that and until now I haven't been able to
88,Ok,3,Ok
89,Kenapa ya kamera zoom kalo di hp saya itu nggak miror tp di hp orang lain terlihat miror jd wajahnya aneh kalo nggak simetris. Tolong dong solusinya,1,"Why is the zoom camera on my cellphone not mirrored, but on other people's cellphones it looks mirrored so the face is weird if it's not symmetrical. Please give a solution"
90,Daftar aja dipersulit,1,Make it difficult to register
91,Ini gimana cara ganti bahasa nya,1,Here's how to change the language
92,Apknya membantu banget apa lagi pas covid kaya gini pokoknya bagus deh harus download,5,"The apk is really helpful, what else when covid is like this, it's really good, you have to download it"
93,Mantappp,5,Mantappp
94,Ikut aplikasi ini,5,Follow this app
95,Burik,1,Dotted
96,Andaikan di smartphone bisa pakai bacground kamera juga kayak di pc,5,If on a smartphone you can use the camera background as well as on a PC
97,"Aplikasi ini baik,sangat membantu pekerjaan saya",5,"This application is good, really helps my work"
98,Manpat,5,Benefit
99,"Bacot Lo Babi ?? tapi booong aplikasi nya mantap gan ,apa liat ke bawah dah aplikasi nya bagus bangat sumpahhhhhhh pokoknya bagus sekali",5,"Bacot Lo Babi?? but booong the application is great bro, did you look down the application is really good, I swear it's really good"
100,Oke,5,Okay
101,Hebat deh,5,That's great
102,Ter bagussssssss,5,The best
103,Gak bisa daftar,1,Can't register
104,Background nya gk bsa dgantii. IP aja baru bsa ??,2,The background can't be changed. Can I just IP?
105,Siap,5,Ready
106,Bgs,5,Bgs
107,"Hai apk meeting zoom saya nggak senang karena apk ini tidak bagus, tidak bagusnya knp, kalau ada tugas nggak usah di kerjakan malas capek, yg guru² Tolong ya diperhatikan murid² saya sebagai murid² capek bodoh",1,"Hi, apk meeting zoom, I'm not happy because this apk is not good, why isn't it good, if there is a task, you don't have to do it lazy and tired, the teachers, please pay attention to my students as students are tired of being stupid"
108,??,5,??
109,"Aplikasi yang sangat membantu, trimakasih????",5,"Very helpful app, thank you????"
110,Gua habis paket udah 100% tapi ga terdownload,1,I finished the package at 100% but it didn't download
111,Mantap,5,Great
112,Bagus membantu,5,Good to help
113,Good,5,good
114,Baik,1,Well
115,kok hp sy mah gd virtual background nya ya?,4,"how come my cellphone doesn't have a virtual background, right?"
116,Ke depannya yang sore ini aku akan pergi dari tempat yang paling penting dari sebuah rumah di beri aku waktu bisa berubah warna dan ukuran yg mau di add ya ya ya pak gpp mudah2an yg bisa bantu Do'a tsb dan keluarga selalu ada dalam masyarakat modern di bawah ini untuk mendapatkan produk lebih di kenal sebagai di Indonesia dan keluarga serta dalam pembangunan bangsa di masa lalu dan DTA angkatan laut as well saya bawa kendaraan yang melintas dari kemarin jam dan keluarga selalu ada untuk mengisi,5,"In the future, this afternoon I will go from the most important place of a house, give me time to change the color and size that I want to add, yes, sir, I hope that those who can help the prayer and family are always present in modern society in below to get the product better known as in Indonesia and the family as well as in the development of the nation in the past and the navy DTA as well I brought a vehicle that passed from yesterday hours and the family was always there to fill"
117,Luar biasa aplikasinya,5,Amazing app
118,"Buuuurik, soale ndoltute suwe wes kadong kedok zoom me",1,"It's bad, about the endolite, suwe wes is under the guise of zoom me"
119,Kok gak bisa di download sih padahal kasi bintang 5,5,How come I can't download it even though I gave it 5 stars
120,Bagus Udh itu sj,5,Good that's all
121,Sangat membantu sekali... sayangnya blm bisa support d smua HP Android untuk mengganti tampilan virtual backgroundnya,5,Very helpful... unfortunately it can't be supported on all Android phones to change the virtual background display
122,??,5,??
123,Ammin,1,Amen
124,Bagus aplikasinya bisa digunakan di semua merk handphone ??????,3,Good application can be used on all brands of mobile phones ???????
125,Mantap,5,Great
126,Sy mncoba . ....,5,I try. ....
127,"Bagus banget buat berbincang dgn oranglain dimasa pandemi saat ini, rasa rindu terobati....salam sehat selalu...",4,"It's really good to talk to other people during the current pandemic, longing is cured.... healthy greetings always..."
128,Bagus....,5,Good....
129,Sangat membantu,5,Very helpful
130,Trimakasih udh bantu kami dalam masa Pembelajaran,5,Thank you for helping us in the learning period
131,Kakui,5,Kakui
132,ok,5,ok
133,Cara ganti namanya gimana begooo,2,How do you change your name dude?
134,Bagus,5,Good
135,Login doang susah banget asli,2,"Just login, it's really hard, really"
136,"Untuk pihak zoom tolong di kasih tab virtual background karena saya sngt membutuhkan untuk zoom sekolah,habistu hp saya ini tidak mendukung...",2,"For the zoom side, please give me a virtual background tab because I really need to zoom in at school, after that my cellphone doesn't support it..."
137,Bikin emosi??????,1,Emotions?????
138,Good,5,good
139,TOP BGT,5,TOP BGT
140,Bagus,5,Good
141,Sangat membantu aktivitas saya setiap memerlukan. Aplikasi ini,5,Very helpful for my activities every need. This app
142,Sangat membantu,1,Very helpful
143,Sangat bangus untuk belajar online,5,Very good for online learning
144,Jelek,3,Bad
145,Sangat membantuku,5,really helped me
146,Zoom why lagi meeting malah keluar sendiri tolong di fix soalnya saya lagi sekolah tiba tiba keluar sendiri gada alasanya cuman keluar terus ada tulisan connecting please,2,"Zoom, why is the meeting going out on its own, please fix it, because I'm at school all of a sudden, I'm out alone, there's no reason why it just comes out and it says connecting please"
147,Terima kasih,4,Thank you
148,Anjay mabar,1,Anjay Mabar
149,Nice,4,nice
150,Bgs,5,Bgs
151,Membantu lah buat belajar,1,It helps to learn
152,Kok lama ya tapi GPP ttp bagus kok!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Ngapain liat ke bawah dh di bilang bagus,5,"It's been a long time, but GPP is still good!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!! Why are you looking down when you say it's good"
153,Top,5,Top
154,Bagus,5,Good
155,Sangat membantu silaturahmi virtual...tks Salam,5,Very helpful virtual friendship... tks Regards
156,Ap nya bagus banget !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5,The app is really good!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!
157,Mantap,5,Great
158,"Gak bisa di download, kenapa ya?",1,"Can't download, why?"
159,Good,5,good
160,Wowwww bagus bangettt??????????????????????????????????????????????????????????????!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!. Tunggu apa lg cepetan download Woi!????!??????????????????????????????!!!!!!!!!!!!!!!!!!!!!????,5,"Wowwww so good???????????????????????????????????????????? ????????????????!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!. What are you waiting for, hurry up and download Wow!????!????????????????????????????!!!!!!!! !!!!!!!!!!!!!!!????"
161,Kreen,5,Kreen
162,Sangat membantu... Bagus..,5,Very helpful... Good..
163,Mantep banget & Recommended,5,Very good & recommended
164,Sangat membantu,5,Very helpful
165,Bagus,5,Good
166,Baik,5,Well
167,Aplikasi burik!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!.......................ngapain lihat ke bawah dah kubilang buri*kkkkkkkkk*kkkkkkkkkk*kk,5,Dotted app!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!. ......................why looking down I said buri*kkkkkkkk*kkkkkkkkkk*kk
168,aplikasi nya bagus banget,5,the app is really good
169,Bagus,3,Good
170,Aku pernah mencoba aplikasih ini aku zoom dengan guru ku nama nya heni,5,I've tried this application zoom account with my teacher's name is heni
171,Rutft55,5,Rutft55
172,Penyimpanan aku masih bnyk kok zoom nya ngga bisa ke downlod sih?,1,"I still have a lot of storage, how come the zoom can't download?"
173,Ok,5,Ok
174,Aplikasi yang sangat membantu sekali untuo kami para guru dlm proses pembelajaran dan komunikasi,5,Applications that are very helpful for us teachers in the learning and communication process
175,please for virtual background can be used for all types of Android smartphones.,3,please for virtual background can be used for all types of Android smartphones.
176,Masak harus zoom,2,Cook must zoom
177,Membantu,5,Help
178,Aplikasi yang sangat bagus,5,Very good app
179,Gabisa sign in,1,Can't sign in
180,Y.,5,Y.
181,Aplikasi nya bagus bgttt!!!!!,5,It's a great app!!!!!
182,Tolong pihak zoom untuk mengupdate agar semua jenis HP bisa menggunakan vitur virtual background.,3,Please zoom to update so that all types of cellphones can use the virtual background feature.
183,Bagus,5,Good
184,??,5,??
185,Good,5,good
186,sgr bgusssssssssssss,5,sgr bgusssssssssss
