userName;content;score;at;Nilai;;;
Jamaludin Wijaya;Berguna banget.....;5;2021-07-05 13:37:10;POSITIF;;;
rosida pjok;coba coba dan coba, apapun pasti kita bisa,,,;5;2021-07-05 13:35:16;POSITIF;1347;;1583
Abi Dzar14;Oke google;4;2021-07-05 11:58:31;POSITIF;236;;
Hendra Sialagan;Ok;5;2021-07-05 11:14:09;POSITIF;160;;917
Handi Widjaja;Sangat bermanfaat;5;2021-07-05 10:45:34;POSITIF;140;;
E L;Aplikasi yang sangat membantu di masa pandemi tapi sayang walaupun android versi 8 lebih tetep ga bisa pakai virtual background hmmmmmmm;4;2021-07-05 10:33:47;POSITIF;617;;
Adeline Yaputri;Bagus bisa ketemuan sama temenku lewat apk ini;5;2021-07-05 10:03:11;POSITIF;;;
Dora Chicago;Pokok nya bagus :);5;2021-07-05 09:46:51;POSITIF;;;
sarah fonna;Bolehlah;5;2021-07-05 09:42:30;POSITIF;;;
Nur Fadhilah;bagus banget????????????????;5;2021-07-05 09:14:03;POSITIF;;;
Anis dwi;Lemotttttt;1;2021-07-05 09:07:51;NEGATIF;;;
#JJS Juna Jump stone;Bagussss;5;2021-07-05 05:07:53;POSITIF;;;
kanaya bpn;Bagus ??;1;2021-07-05 04:15:18;NEGATIF;;;
Erde Leisure;Riet;1;2021-07-05 04:06:09;NEGATIF;;;
Agus Slamet Prihanto;Ok;5;2021-07-05 03:02:56;POSITIF;;;
Puncak raya Rabbani;Aplikasi ini sangat jelek;5;2021-07-05 01:29:31;POSITIF;;;
Sriwiji Handayani;Memudahkan;5;2021-07-05 01:23:20;POSITIF;;;
Rafael Larongge;Kenapa saya tidak bisa ganti background?;2;2021-07-05 00:45:29;NEGATIF;;;
Mohamad Jali;Berguna Buat Sekolah Juga Bisa??????;5;2021-07-04 23:39:52;POSITIF;;;
rafif suma;Gege gemiing;5;2021-07-04 23:31:46;POSITIF;;;
Zahira Aisyah;Saya suka dengan aplikasi ini;1;2021-07-04 23:07:53;NEGATIF;;;
Weka Doon lee;Mantap;5;2021-07-04 22:52:39;POSITIF;;;
Eko Cahyanto;Sangat bermanfaat;5;2021-07-04 16:13:50;POSITIF;;;
MOH. RULI ALFIAN;Bagus, tapi sekarang bisa via G-Mail jadi kaga usa instal;5;2021-07-04 15:39:43;POSITIF;;;
Kadir Sainih;Ok;5;2021-07-04 15:17:00;POSITIF;;;
hosiko azahna;Lumayan buat anak sekolahh;4;2021-07-04 14:18:08;POSITIF;;;
Mansur Lombok;Puas hati;3;2021-07-04 13:29:39;NEGATIF;;;
Topx Cell;Bocil epepe menguasai playstore;5;2021-07-04 13:25:33;POSITIF;;;
Yenni Agustinah;Okehh,bagus;5;2021-07-04 13:05:08;POSITIF;;;
Nursyah Faiz Ramadhan;Bjirr;1;2021-07-04 12:59:30;NEGATIF;;;
Nice a day;Terima kasih, dengan ada gmeet saya masih bisa belajar dan bertemu dengan teman dan dosen walaupun hanya secara virtual. Aplikasi ini sangat membantu, terutama di tengah situasi pandemi seperti sekarang.;5;2021-07-04 11:33:50;POSITIF;;;
Petrus Tamat;Aplikasi ini ssngat membsntu;1;2021-07-04 11:33:46;NEGATIF;;;
Desi vihala sari;Mudah diakses;5;2021-07-04 11:28:20;POSITIF;;;
EGIDIO CONSTANTINO DA SILVA;??;5;2021-07-04 11:08:20;POSITIF;;;
Muhammad Isra;Bgs;5;2021-07-04 10:25:06;POSITIF;;;
Isni Nmsffh;Makasih gogle meet jadi bisa belajar;5;2021-07-04 10:02:57;POSITIF;;;
Zaidan Nur Alim;Good;5;2021-07-04 09:56:00;POSITIF;;;
M Naufal Z;bagus bagus, updatannya, tp usul saran klo bisa waktu fullscreen yg frame kecilnya itu ditampilkan speakernya (org yg ngomong);4;2021-07-04 09:35:17;POSITIF;;;
suka eskrim;Bags;5;2021-07-04 07:30:23;POSITIF;;;
CHN Chanel;Bagus;3;2021-07-04 07:15:32;NEGATIF;;;
Eko Mulyanto;Sinyal bagus. Kenap muter terus. Gak bisa down load;1;2021-07-04 03:25:48;NEGATIF;;;
Mohamed Nour;good;5;2021-07-04 02:48:38;POSITIF;;;
Gilang Lang;Aplikasi burik;1;2021-07-04 02:13:20;NEGATIF;;;
Ahmad Riszal Fitrianto;"Kadang"" masih ngebug??";1;2021-07-03 15:56:22;NEGATIF;;;
MIKEY;I like this apl so good;5;2021-07-03 15:25:15;POSITIF;;;
syulocil official;Ajib benr dah;5;2021-07-03 14:02:30;POSITIF;;;
Fatia Fitri;Terimakasih aplikasi nya bermanfaat. Bagus banget buat ketemu secara virtual;5;2021-07-03 13:05:38;POSITIF;;;
Dede Suhandi;Aneh gak bisa di instal;1;2021-07-03 12:54:54;NEGATIF;;;
Abah Rus;Makmun;4;2021-07-03 12:48:55;POSITIF;;;
Djuni;simple, mudah diakses dan berguna bagi setiap orang yang menginginkan aktifitas virtual dengan teman dan kolega. patut dicoba dan apreciate to google meet team!;5;2021-07-03 12:42:10;POSITIF;;;
Angga Saputra;nice;5;2021-07-03 10:14:41;POSITIF;;;
Assassin Online;Ok;5;2021-07-03 09:14:42;POSITIF;;;
Yohga Gans13;Bagus banget;5;2021-07-03 08:15:57;POSITIF;;;
kinaya1025;Gembel;5;2021-07-03 07:47:25;POSITIF;;;
Chandra ibnoe;ok;4;2021-07-03 07:24:16;POSITIF;;;
Auri Kheyla;Suka suka;5;2021-07-03 05:06:46;POSITIF;;;
Muhammad yasir Rasya;Gk bagus aplikasi nya;5;2021-07-03 03:50:25;POSITIF;;;
Dewi Ningsih;Membantu tatap muka secara virtual dimasa pandemi. Hanya mungkin penggunaan data yg lbh tinggi;4;2021-07-03 03:39:27;POSITIF;;;
Arista Yanti;menurutku G-Meet lebih mudah, hemat c daripada sebelah :);5;2021-07-03 01:19:50;POSITIF;;;
teguh group;Mantap pertahankan terus;4;2021-07-03 00:24:55;POSITIF;;;
PT. Tri Mandiri Sekawan;Untuk kualitas nya bagus bikin link nya juga gampang banget dari pada zoom;5;2021-07-03 00:04:31;POSITIF;;;
Muhamad Alfatian;Ok;5;2021-07-02 23:52:41;POSITIF;;;
hadija ayu;Terima kasih;5;2021-07-02 17:41:51;POSITIF;;;
Aqilla Neysa;Ok;5;2021-07-02 14:09:30;POSITIF;;;
Eko Pairo;Bagus??;5;2021-07-02 12:54:51;POSITIF;;;
SUWARTO SADA DEWA CELL;Mantap;5;2021-07-02 12:17:09;POSITIF;;;
Ar As;Mantap;5;2021-07-02 11:40:19;POSITIF;;;
Lyncupetonk Petonk;Ok bgt tuk membantu ortu di rumah biar anak bisa belajar bertatap muka dg guru;5;2021-07-02 11:28:21;POSITIF;;;
Zulfah Zulfah;MSih sering mati;2;2021-07-02 11:18:50;NEGATIF;;;
Affan Thoriq;??;5;2021-07-02 11:06:09;POSITIF;;;
king oppo;gimana ya saya download hapus terus hahay sorry wkwkkw btw gift skin collector dong google meet masa pelanggan setia ngk dikasih skin ??;5;2021-07-02 09:27:56;POSITIF;;;
normila sari;Baguss;5;2021-07-02 08:13:31;POSITIF;;;
Davi Syahrafly;Ga mau apa apa cuman mau komen;1;2021-07-02 07:28:22;NEGATIF;;;
Sany filda Rahayu;Bagus;1;2021-07-02 04:45:33;NEGATIF;;;
Setiadji ratna;sangat bagus;5;2021-07-02 04:35:01;POSITIF;;;
Rohpinus Sarumaha;Sangat Membantu;5;2021-07-02 03:22:07;POSITIF;;;
Mareta Dita;Aplikasinya bagus aku suka;5;2021-07-02 02:38:30;POSITIF;;;
Irwan Uan;Saya punya embek;5;2021-07-02 02:02:58;POSITIF;;;
Kusuma Setiawardani;Dasar apk ngak berguna!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Tapi boong apk nya berguna;5;2021-07-01 23:13:23;POSITIF;;;
Asep Ulloh;Ok;5;2021-07-01 15:23:11;POSITIF;;;
Dava Hermawan;Mantaps;5;2021-07-01 14:17:50;POSITIF;;;
Tjoe Phe Bie;Sangat cocok untuk profesi saya sebagai Guru Pendidikan Agama Buddha di Sekolah ??;5;2021-07-01 13:58:32;POSITIF;;;
Muhammad Faqih Ulinnuha;Bagusssss;5;2021-07-01 13:18:38;POSITIF;;;
Aura Eka;Bagus juga ya saya jadi bisa bljr onnline dan bisa bertemu dengan guru dan teman teman selamat mencoba semoga betah;5;2021-07-01 12:35:44;POSITIF;;;
Christian Raditya Danaralle;Saran saya tolong tambahkan subtitle bahasa indonesia;5;2021-07-01 12:03:46;POSITIF;;;
Jaka Ria25;mantap ni aplikasi nya sangat burik !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! tapi boong aplikasinya bagus;1;2021-07-01 10:29:12;NEGATIF;;;
mulyadi mulyadi;okey;4;2021-07-01 09:33:49;POSITIF;;;
Sukmadi Al fariss;Bagus;5;2021-07-01 08:59:53;POSITIF;;;
Rosmala Nur;Good;5;2021-07-01 08:07:58;POSITIF;;;
Vinsenza Kedang;Amat meperlancar pekerjaanku;5;2021-07-01 07:40:46;POSITIF;;;
Devri Candra;Baik;5;2021-07-01 07:21:04;POSITIF;;;
Elvina Vina;Mantap;5;2021-07-01 06:13:13;POSITIF;;;
Kagura Gans;Nakana;5;2021-07-01 03:47:45;POSITIF;;;
Firdjio Yudistira;Aplikasi ini bisa buat belajar video call juga;5;2021-07-01 02:42:27;POSITIF;;;
Disma Ramdhan Fadhila;Ga bisa di geser untuk memantau yang lainnya menyalakan kamera atau tidaknya. Tolong di perbaiki;3;2021-07-01 02:17:45;NEGATIF;;;
Janu Hidayat putra;Sangatvbantu;5;2021-07-01 01:15:41;POSITIF;;;
Dwi Wahyu;Ok;5;2021-07-01 01:12:00;POSITIF;;;
Devi Noviandra;B a g u s;5;2021-07-01 01:09:20;POSITIF;;;
Nekoci;Tolong dong diperbaiki bugnya, masa ada orang yg disuruh on google meet, habis itu disuruh hapalan pula, tolong diperbaiki aplikasinya;1;2021-06-30 15:15:29;NEGATIF;;;
agustian pw;Sangat membantu;5;2021-06-30 14:40:02;POSITIF;;;
Ester Paulina zendrato;Sangat bagus;5;2021-06-30 12:55:46;POSITIF;;;
Wanna Able;Apk paling dibutuhkan saat ini :));5;2021-06-30 12:18:34;POSITIF;;;
Arman rajiman;Ok;5;2021-06-30 11:39:26;POSITIF;;;
Lilik Yulianto;Mantaplah pokoknya;4;2021-06-30 11:14:35;POSITIF;;;
belva adelia;Bagus;5;2021-06-30 10:45:26;POSITIF;;;
Sundari Salon spa;Looding trs / tertunda GK bisa nih...;1;2021-06-30 08:32:24;NEGATIF;;;
Dwi Vita Sari;bagusss;5;2021-06-30 06:26:52;POSITIF;;;
Jessica gacha;Terima kasih;5;2021-06-30 05:14:56;POSITIF;;;
Pro Video;Aplikasi ngga berguna;1;2021-06-30 03:24:31;NEGATIF;;;
Tatyarahmadany Tatya;Mau belajar;5;2021-06-30 03:20:01;POSITIF;;;
KepinFD;Kejam??????;1;2021-06-30 01:47:16;NEGATIF;;;
Coldbrew;Cukup mudah digunakan;4;2021-06-30 01:27:52;POSITIF;;;
Muhammad Yasin Damang;Bagus;5;2021-06-29 23:02:07;POSITIF;;;
Dani;Ternyata bagus ini aplikasi lebih dari zoom cloud meeting lebih canggih tak ada kendala dari segi apapun dan penggunaanya gampang simple;5;2021-06-29 15:15:53;POSITIF;;;
Maesa Ramadan;Gara2 apk ini sokolah online gua gak suka sekolah online lebih baik sekolah ofline bisa;1;2021-06-29 13:56:06;NEGATIF;;;
