userName,content,score,at
Van Jp,Kalau bisa di tambahkan fitur rekaman melalui hp mngkin akan bs lebih baik lagi,5,2022-08-10 01:07:08
Ferliktihua Ferlytihua,Bgus fitur nya,5,2022-08-09 13:30:48
Kevin Yudho,"sangat buruk untuk rekomendasi, saran ke zoom meet aja",1,2022-08-09 11:54:07
Grab Mauludin,Good jobs 👍👍,5,2022-08-09 09:57:03
Veronika Eko wahyuni,Mantap 👍👍👍,4,2022-08-09 05:45:17
Bambang S. Alam,Kualitas jernih video maupun suara,5,2022-08-09 03:37:20
Farid Abdullah,Sudah terdonwload tpi gak terinstal,1,2022-08-09 01:39:45
Zakiyatul Hanif,Yaaaah Cuma Dapat Bintang ✳️ Yaaah,1,2022-08-08 20:58:36
Wilian Sumbang,Mamtapllll,5,2022-08-08 17:41:18
candra candra,chandra tanjug,5,2022-08-08 09:31:59
KAR Alfarisy,Sangat cocok,5,2022-08-08 04:01:00
Wanto Dikromo,Bagus,5,2022-08-07 15:56:42
F I,"Kecilkan ukurannya, fitur tidak lengkap",1,2022-08-07 14:11:10
Ivan Sah,Jingkontod,1,2022-08-07 11:49:59
"Matahari Arles, Chb.","Rekaman virtualnya kemana ? Premium sudah bayar, kenapa tidak ada rekaman virtualnya ?",1,2022-08-07 11:22:16
Faris Ashry,Biar bintang yg bicara,5,2022-08-06 14:56:32
nova Riana,Bagus sekali,5,2022-08-06 08:44:46
Dwi Santoso,Baik,4,2022-08-06 00:06:21
Jaga Hatii,Sangat bagus dan sangat dibutuhkan oleh pelajar2 online saat ni,5,2022-08-05 15:42:35
Muhammad Ilham Habibie,Semua fiturnya bagus. Tp setelah update terbaru jd gk bisa pin diri sendiri 🙂,3,2022-08-05 13:35:22
Malvinas Jes,Top markotop,5,2022-08-05 12:39:26
Hamrijawana Punya,Sangat baguslah buat pakai miting,5,2022-08-05 09:59:30
Nur Sukma,Tidak bisa di gunakan lagi,1,2022-08-05 06:56:33
Toni Hidayat,😍,5,2022-08-05 06:55:13
Neti Rismawati,Puyeng,5,2022-08-05 03:06:47
Iwan Sadia,Blm coba,3,2022-08-05 01:05:53
Kamaludin 1,Nice,5,2022-08-04 23:42:04
4rdi M4ul4n4,kont,2,2022-08-04 16:05:41
SAID Said74,Mantap,5,2022-08-04 14:00:13
Dimas Gilang,Telat updatenya,2,2022-08-04 12:53:29
Ani Rahayu,Semoga aj jaringnnya bagus,5,2022-08-04 12:19:46
filip Agung,Good,5,2022-08-04 07:02:05
Rosmanidar Rosmanidar,Semoga mempermudah zoom meeting,5,2022-08-04 05:39:59
Usman Fadhil Ramadhan,"Kenapa harus daring, kuota saya cepat habis",1,2022-08-03 12:55:31
firon,Aplikasi beban siswa,1,2022-08-03 12:15:26
dimas satrio,Alhamdulillah aplikasi nya sangat bermanfaat bagi saya terutama memudahkan dalam menuntut ilmu di masa pandemi covid,3,2022-08-03 08:07:04
sisca tan,Karena tidak bisa memakai filter,1,2022-08-03 04:27:43
Yoyo Situmorang,Ok,5,2022-08-03 03:22:53
Kenzie Siregar,Bagus,5,2022-08-03 00:42:00
Susie,TQ karena pernah membantu ketika Daring.,5,2022-08-02 19:13:32
Elvmardian Sarumaha,Saya pengen mau mengikuti meet besok jam 3 sore,5,2022-08-02 14:22:48
Dwi Agung,Ok,4,2022-08-02 14:00:54
BagusBimantoro OFFICIAL CHANNEL,Sangat penting untuk menunjang pekerjaan,5,2022-08-02 13:33:09
Silvia,"Aplikasi bagus, saya suka",4,2022-08-02 12:37:09
Latifah Faaa,"Anjg ya harus download 3 kali, dimulai dr 0 trs, alasan mulu penyimpanan penuh. Dah hapus app lain setidaknya tinggal lanjutkan. Yg ggal kn juga jadi cache 😡",1,2022-08-02 05:24:13
Yasmin Alya Humaira,suka keluar keluar sendiri,1,2022-08-02 02:51:06
Maryam Iyamyamhie,Bagus,1,2022-08-01 17:43:09
Harry Azhari,Bgs,5,2022-07-31 09:35:01
Hadi Firdauas,"Kasih bintang 1 aja deh soalnya ndak bisa dipakai buat ganti background,kalau kendalanya di hp ndak mungkin kayaknya soalnya banyak kawan saya yg pakai hp sama tpi yg lain pada bisa ganti backgroundnya cuma hp gue yg ndak bisa",1,2022-07-31 06:15:36
Hadi Ismanto,Keren,5,2022-07-30 17:33:56
Ricky Arian,Wow sangat bagus untuk belajar daring,5,2022-07-30 11:11:00
Adhi Kurniawan,Selalu gagak install. Padahal memori masih ada,1,2022-07-29 13:36:43
Siratus Sani,"Tolong masukkan transkip cc,nya.. masukkan juga b.indonesia.",1,2022-07-29 13:16:47
Endah Ismawati,Jos,5,2022-07-29 07:56:15
Dillah Boboiboy,Kereen terbaiklah pokoknya 👍💪😊,5,2022-07-29 06:16:16
halomoan situmorang,Ok,5,2022-07-29 05:03:40
Muhamad Rifki Zain,bagus aplikasinya,5,2022-07-29 04:10:21
Win Blora,Saya jadi lebih gampang ikut daring menggunakan google meet ini,5,2022-07-29 02:46:26
Lailiani Susanto,Baik,4,2022-07-28 20:49:35
Alvino shane Matthew Natanael,kenapa hp saya tidak ada filter nya,1,2022-07-28 12:12:04
Indah Apriani,(ʘᴗʘ✿)q(❂‿❂)p☆(ﾉ◕ヮ◕)ﾉ*ヾ(＾-＾)ノ,5,2022-07-28 09:11:17
Sanudin Suryadi,Terbaik untuk kalangan pengusaha,5,2022-07-28 08:45:19
