userName,content,score,at
Hasan Aen,Ok,5,2022-08-10 06:27:12
Deddy Ria Saputra,"Cepat ,minimal gangguan",4,2022-08-10 06:13:27
Sheryl Idelia,Bagus,4,2022-08-10 06:08:56
Lee Tju,Banyak membantu,5,2022-08-10 06:03:50
Se Sarina,Gak dapat di install padahal butuh banget,1,2022-08-10 06:03:39
MPK_PWA Sulteng2021,Mantap,5,2022-08-10 05:35:05
Asmawati Adenan,Mantul,5,2022-08-10 04:08:21
eva Lastarida,Aplikasi Ini Sangat Membantu Saya Untuk Sekolah Online Di Rumah Thanks Zoom,5,2022-08-10 04:06:36
19_M Yusuf Kamilmukamal,Ngentodd,5,2022-08-10 03:19:46
abdul rahman,Sangat membantu kerja meeting,5,2022-08-10 03:12:50
A B D U L G A N I,Kwalitas gambar bagus,5,2022-08-10 03:06:25
Robi Saputra,Saya tidak bisa masuk zoom rapatnya dan katanya sinyalnya lemot padahal bagus,1,2022-08-10 03:02:21
Dedi Supiandi,Ok,4,2022-08-10 02:11:14
Surya Timin,Sangat bagus,5,2022-08-10 01:57:03
Ilhamsyah EPAS,Mohon update selanjutnya bisa menghapus pesan sehingga tidak menumpuk,5,2022-08-10 01:50:39
Heppy Fatmawati,👍👍👍👍👍,5,2022-08-10 01:48:48
Manggolo Hayuningrat,Mamfaat banget,5,2022-08-10 01:03:35
Zuhri Tauhid,Sangat Bagus,2,2022-08-10 00:48:38
Yusa Hanafi,Siiipppp,5,2022-08-10 00:01:55
Ini Syfaa,Sy menyukai aplikasi ini-gf jaemin💚♡,5,2022-08-10 00:00:09
Nugroho Dwi,R2 r2c. DGuyvugvvvvvvvv,2,2022-08-09 23:36:23
bintang adolvo,Mantap pokok nya,5,2022-08-09 22:05:13
RIZKI SETYOWATI,"Pemakaian yg simpel dan menarik karena sudah ada fitur virtual background, dan muat sampai 1000 peserta",5,2022-08-09 20:26:58
Gifry San,Tidak rekomend,1,2022-08-09 19:37:46
Wisnu Nanda zakaria,good,4,2022-08-09 19:12:02
Ayu Ananda,instalnya bayar kah? aku drtd nginstal gabisa :(( besok butuh buat interview kerja,3,2022-08-09 18:02:41
Mujib Santoso,"Semuanya Baik baik saja, Kalau diNiatkan untuk belajar",5,2022-08-09 17:35:35
Nurul_PE Akuntansi_FE,Gabisa ganti latar belakang hmm,1,2022-08-09 16:05:04
Umi Kayisyah,Sangat membantu,4,2022-08-09 15:11:41
Maulana Chandra,"Praktis, ekonomis dan bermanfaat",5,2022-08-09 15:04:25
Darius Maro,Ok,5,2022-08-09 13:31:42
listiandari. 79,Good,5,2022-08-09 13:25:10
Suriani Ummu mujahidah,Sangat membantu dalam musyawarah,5,2022-08-09 12:59:56
Kristianto Irawan,bagus,5,2022-08-09 12:31:29
Hendra PM,"Hanya terpaksa, karena di suruh kantor.. tidak berguna.. kebanyakan makan data internet..",1,2022-08-09 12:27:27
agung TV,Makin gak jelas zoom nya padahal enakan yg dulu kenapa harus ke crhome,1,2022-08-09 12:27:14
arifuddin arif,Ok,5,2022-08-09 11:25:51
