userName;content;score;at;Nilai
Azaufiaq Sobrun;Mantap;5;2021-07-17 13:26:46;POSITIF
Maria Pasaribu;Bagus;5;2021-07-17 13:21:27;POSITIF
Herman Wahab;Tidak mau rerpake;1;2021-07-17 13:21:04;NEGATIF
Farel Alfarezy;Mirror nya gabisa disetting pdhal udah say off kan tpi tetep mirror;2;2021-07-17 13:20:48;NEGATIF
Bambang Sukanto;Kok susah ya konecnya ke ??selamat beraktifitas..;5;2021-07-17 13:18:45;POSITIF
Violyne Mayqila;Bagusss ss sssssssssss;5;2021-07-17 13:11:19;POSITIF
Wilda Ulfah;Aplikasi ini sangat membantu bagi pelajar seperti saya yang sekolah secara online / daring :!!!!!!!!!!!!!!!!!!!!!!?????;5;2021-07-17 12:56:15;POSITIF
Bilqis Cahya;Bagus banget aplikasi iniiìiiiiiiiiiii;5;2021-07-17 12:40:32;POSITIF
elan suherlan;ok;5;2021-07-17 12:38:14;POSITIF
Mah Alfi Official;The best........;5;2021-07-17 12:36:35;POSITIF
Clara Beatrix;Aplikasi ini sangat bagus saya suka banget,dan membantu saya belajar online dengan sangat bagus ., !!!;5;2021-07-17 12:34:45;POSITIF
Burham Biotayuda;Bagus;5;2021-07-17 12:30:45;POSITIF
Ardi Ruhbanan Wahhab;Bagus tapi virtual background nya belum merata ke semua hp;3;2021-07-17 12:13:18;NEGATIF
Retno Fadilah;Aplikasinya sudah bagus, saran sy tambahkan untuk pilihan bahasa indonesia,terimakasih!;4;2021-07-17 12:06:52;POSITIF
Muhammad Hadar Faturrahman;Makasih membantu kami utk daring;5;2021-07-17 12:06:42;POSITIF
Eben Ezer;Iya;5;2021-07-17 12:06:27;POSITIF
Serly Smd;Luar biasa;2;2021-07-17 12:05:17;NEGATIF
Fajrin Fajrin;Keren sekali;5;2021-07-17 11:55:45;POSITIF
Gilbert Christian;bagus bangettt;5;2021-07-17 11:54:06;POSITIF
Robi Dawiyah;Baguuusssss;5;2021-07-17 11:50:06;POSITIF
Iswan;Mantap berguna banget nih aplikasi;5;2021-07-17 11:45:00;POSITIF
