userName;content;score;at
Neneng Nurhayati;Saya terbantu untuk melakukan kajian dgn teman teman melalui aplikasi ini tanpa harus bertemu langsung;5;2022-01-18 08:01:18
Cu Ayau;Very useful;5;2022-01-18 08:01:14
Erna Simatauw;Sangat baik;4;2022-01-18 07:59:48
imron maulana;banyak hack ngeri;5;2022-01-18 07:54:44
Nurul Anis;Sangat di butuhkan setiap saat dan sangat bagi pembisnis online;5;2022-01-18 07:52:42
Jecsen Kang;Nice and helpfull app, but I hope there no time limit or at least 1 hour limit, also please add virtual background function on Mobile. If it's fixed I gave full star;4;2022-01-18 07:09:14
Doleng Official;Mntap;5;2022-01-18 06:13:15
nurita aini;Good...;5;2022-01-18 05:49:48
Rizky Putrianti286;Cocok;5;2022-01-18 05:46:24
Febrian Thomas;Sangat membantu dalam dunia pendidikan;5;2022-01-18 05:19:24
jun naid;Sungguh bai;5;2022-01-18 04:18:11
Ahmad Rifai;Baik;5;2022-01-18 04:17:10
Ridwan Edliyani;Tolong kualitas videonya 4K;1;2022-01-18 03:54:21
Nadya Official;Nice apk;5;2022-01-18 03:33:40
Deni Embet;Ok;5;2022-01-18 02:32:07
Endang Tara;Ok;5;2022-01-18 02:27:56
Masadi Ndung;Mantab Keren;5;2022-01-18 02:03:16
Inkemaria Silitonga;mantap;5;2022-01-18 01:42:53
Vosio Fernandes;Bagus;5;2022-01-18 01:33:05
Davi Riskiansyah;terlalu ngelag;1;2022-01-18 01:31:37
adhit;Top;5;2022-01-18 01:27:40
ETMUNDUS ELORESKY TEMORUBUN;Baguss;4;2022-01-18 01:27:06
Fery Rinaldi69;Munculkan virtual background nya biar LBH mantaf dlm zoom;5;2022-01-18 01:12:53
Adam's Pro;Zoom nya aneh akhir akhir ini zoom nya gak bisa dipake dan setiap kali mau ikut zoom daring tetep gak bisa....dan preparing meting terus.. Tolong diperbaiki apakah ini bug atau apa. Tolong ya itu saran saya makasih maaf juga kalo kepanjangan.;1;2022-01-18 01:11:04
