b'Anggota DPR Sarankan Desain Istana Negara di IKN Disayembarakan https://t.co/ilKUMdqsrz',Kandidat
b'Beberapa waktu yang lalu Presiden Joko Widodo mengunggah video salah satu usulan desain istana negara di media sosial\n\nPresiden @jokowi meminta masukan masyarakat Indonesia terkait pradesain Istana Negara Indonesia di Ibukota yang baru.\n\nMenurut kakak-kakak bagaimana?\n\n#Indonesia https://t.co/h2MQSM7OWq',Partai NasDem
"b'Top 3 Tekno Berita Kemarin, Sabtu 10 April 2021, didominasi dua artikel berisi kritik atas desain terpilih Istana Negara. Kritik kali ini datang dari Guru Besar Arsitektur ITB. Dia menyoroti buruknya rancangan bangunan pendukung istana. #TempoTekno https://t.co/wYrHEZa9gH'",TEMPO.CO
"b'Guru Besar Sekolah Arsitektur, Perencanaan dan Pengembangan Kebijakan ITB menilai arsitektur Istana Garuda kurang pas.\xc2\xa0\nhttps://t.co/UMlybi0VF7'",Robbie Kawuwung
"b'Terlalu simbolik, tidak fungsional. Boleh jadi cermin mindset pemerintah saat ini yg lebih mengutamakan simbol\xc2\xb2 dibanding fungsi. Termasuk dlm urusan ideologi Pancasila. Ciri pandangan tradisional agraris di tengah hiruk pikuk narasi industri 4.0 https://t.co/yxsdbjQjKt'",Aidul Fitriciada A
"b'Desain Istana Negara, Profesor ITB: Bagai Dicaplok Sosok Garuda https://t.co/Qh0vPQ0cmj'",Bisnis.com
"b'@fullmoonfolks Padahal belum ada pengumuman resmi desain istana negara yg baru. Wajar lah, kerjanya di tirto \xf0\x9f\xa4\xa3'",kenapa banyak
"b'@fullmoonfolks Desain istana negara gak nengok ke kanan-kiri, tapi ke tengah, akrobatnya bakal lebih panjang gak?'",0%
"b'Desain Acak2n Apalagi Pelaksanaan Sumber Duitnya Acak2n !!\xf0\x9f\x98\x9c\n\nGuru Besar Arsitektur ITB, Himasari H :\n""Bukan hanya desain Istana Negara \'kurang pas\' secara arsitektur. Penempatan gedung2 pendukung istana dirancang secara acak2an.""\n\n#PKIMusuhSemuaAgama\nhttps://t.co/P7D5TYeYhY'",🛑🛑🛑_Oposisi_Kecil_🛑🛑🛑
"b'Desain istana negara kureng katanya, tapi di dubai desainnya aneh2 malah ada yang kek teko aladin bagus2 aja judgenya.'",savior
b'Apakah akan ada counter dari KK seni rupa?????\nhttps://t.co/37Cfip9psw',𝖆𝖘𝖊𝖕 𝖗𝖔𝖖𝖎’
"b'Pada akhirnya pancasila (garuda, dan metafora lainnya) ya cuma jadi simbol kosong, jadi ideologi udah kejauhan sama realitas sosialnya. ""Damai itu indah"" kalau kata spanduk koramil, begitu ditanya maknanya ya ngga ada yang bisa jawab\nhttps://t.co/14WCso1aK8'",Bhagavad Sambadha
"b'GEDUNG ISTANA KOK DIKANGKANGI GARUDA. \n\n""Bangunan harus eksis tidak boleh ditunggangi bentuk-bentuk lain.""\n\nTanggapi Desain Istana Negara Ibu Kota Baru, Guru Besar ITB: Kurang Pas, Tidak Etis https://t.co/tSVEflZWRX\n\n#PKIMusuhSemuaAgama \n#PKIMusuhSemuaAgama'",dancersejati1
"b""Bukan hanya desain Istana Negara terpilih yang disebutnya 'kurang pas' secara arsitektur. Penempatan gedung-gedung pendukung istana di bakal lokasi ibu kota baru RI di Kalimantan Timur pun dinilai dirancang secara acak-acakan. #TempoTekno https://t.co/OV7iAdQNZY""",TEMPO.CO
"b'Desain Istana Negara Ibu Kota Baru, Guru Besar ITB: Kurang Pas\nhttps://t.co/emq0O25anG'",MEDIA OPOSISI CERDAS
"b'Tanggapi Desain Istana Negara Ibu Kota Baru, Guru Besar ITB: Kurang Pas, Tidak Etis\nhttps://t.co/L0WyZomWXM'",DEMOCRAZY News
b'Bappenas Kumpulkan 5 Asosiasi Bahas Desain Garuda Istana Negara https://t.co/sFgAaZKFYx',Mint Leaf Indonesia
"b'@tempodotco Elemen apapun harus menyatu, utuh sebagai satu kesatuan karya seni, termasuk seni arsitektur. Boleh saja bngunan menyerupai atau ""dominasi"" garuda, tapi jangan ada kesan titipan atau tempelan.\nhttps://t.co/Ugvz2kdyOC'",#DEMARKASIimajiner
"b'Guru Besar Sekolah Arsitektur, Perencanaan dan Pengembangan Kebijakan Institut Teknologi Bandung Himasari Hanan menilai arsitektur Istana Garuda kurang pas. #TempoTekno https://t.co/K2i6V4AGky'",TEMPO.CO
"b'Dengan masukan-masukan itu nantinya, saya akan mengundang kembali para arsitek dan para ahli lainnya untuk melakukan pengkayaan pradesain menjadi basic desain Istana Negara.'",Aguss
b'Kita punya arsitek sekelas Pak Ridwan Kamil. Kenapa ngga beliau diminta desain istana negara kemarin kalo emang sayembaranya tertutup untuk beberapa arsitek saja. https://t.co/88aPdD3I1v',🙂
"b'@kumparan Mohon izin, mimin Sultan. Ini ide desain istana negara dari netizen sudah sulit diterima nalar.  Jangan nambah-nambahin. \xf0\x9f\x98\xad'",kumparanplus
"b'Desain Istana Negara Ibu Kota Baru Belum Final, Pemerintah Buka Opsi Sayembara https://t.co/O0HZ84bv29\n\nCari berita lain? Klik di sini https://t.co/5V0ZVxyHrn https://t.co/COrBBRaM7n'",Yahoo Indonesia
"b'@emilsalim2010 Sama yah pak,,kalau ada pertanyaan melihat desain istana negara di ibukota baru, uang ratusan bahkan ribuan trilyun mengapa uang itu tidak utamakan pendidikan ketimbang istana  baru sang raja..'",Bram Hardiyanto
"b'@TAEHYUNGlllE sepertinya Jadi kak, kan kemaren presiden ada kasih liat desain istana negara buat disana \xf0\x9f\xa5\xb2'",naa진☽
"b'Kritik Desain Istana Negara Ibukota Baru, Guspardi Gaus: Harusnya Disayembarakan Dulu https://t.co/BUFn1EvGEE'",Fraksi PAN DPR RI
"b'Pemerintah membuka opsi sayembara desain Istana Negara di Ibu Kota Negara (IKN), di Kalimantan Timur. Opsi ini dilakukan pemerintah setelah desain Istana Negara sebelumnya mendapatkan kritik dari banyak pihak.\n\nSelengkapnya https://t.co/7Ap46DquZG https://t.co/TrlIGgJgcT'",IDN Times
"b'Tanggapi Protes Desain Garuda Istana Negara IKN, Menteri PPN: Why Not - https://t.co/wwMtXDDwCv - https://t.co/wwMtXDDwCv https://t.co/TXM48xFumu'",Jakarta Tour Travel
"b'Pemerintah membuka opsi sayembara desain istana negara di ibu kota baru, Kalimatan Timur usai rancangan istana negara berbentuk burung garuda menuai kritik dari asosiasi arsitek dan warganet. \nhttps://t.co/4fFsSfwOEL'",Urbanasia
"b'Desain Istana Negara Ibu Kota Baru Belum Final, Pemerintah Buka Opsi Sayembara https://t.co/MxwkDkii2b'",Liputan6.com
