content;value
Aplikasi jelek, menyusahkan sudah tau kita punya akses google dan pasword untuk login malah minta nomer hp kan bodoh terus apa gunanya kita mengkaitkan akun ini aplikasi jelek pakai google serius nanya !!!!!!!!;Negatif
Awalnya suka banget pake shopee delain freeong juga bisa pilih pake J&T.. tapi setelah kebanyakan ca ci cu J&T gak ada dan alhasil pake ekspedisi pilihan shopee.. Yg seharusnya 2-3 hari bahkan sehari sampe ini sampe berhari², sampe aku pesen kurma busuk dijalan...padahal kalau pakai J&T bisa 2 hari sampe dari surabaya ke jember.. lah ini pake ekspedisi ga jelas jadi malah gak cepet terkirim, apalagi pake si cepat.. gak nyalahin penjualnya, tapi nyalaih shopeenya..;Negatif
Apaan shopee gamau rugi bgt . Katanya klo download shopee pengguna baru dapet pulsa token gratis . Tp pas daftar pake 2 no sekaligus dan blm sm skali trdftar d shopee malah katanya no nya udh Terdaftar . Mikir dong gue download juga pake kuota!!!! gue hapus lagi ni aplikasi nipu banget;Negatif
maaf ya shopee bintangnyaa aku kurangi, kecewa bgt sekarang shopee leletnya minta ampun, aku sebegai seller jadi kehambat, kadang gambar ga muncul, tiba kembali sendiri, intinya kecewa deh sama shopee yang sekarang, semoga bisa balik jafi shopee yang dulu ya:));Positif
Shopee emng aplikasi belanja terbaik buat alternatif belanja yg lebih murah tapi tetep ngga ninggalin kualitas dan kuantitas barangnya. Kalo lg ngga ada kerjaan, paling sering pantengin shopee. The best deh pokonya. Makasih shopee ????????;Positif
Betul sekali sekarang shoppe makin mempersulit, dalam hal tarik tunai pun sekarang harus nunggu sampe 3 jam malahan lebih dan isi ulang pun harus junggu sampe 5 menit. Serta untuk belanja pun kita tidak hisa memilih kurir mana yg ingjn kita gunakan.. tidak bisa di andalkan shopee yang sekarang. Kalau masih seperti gini bisa2 pada lindah ke tetangga sebelah;Negatif
Pengguna shopee akan otamatis menurun seiring kebijakan shopee masalah jasa kirim, jadi kita gak bisa nentuin jasa kirim yg akan di pake. Kadang kadang juga voucher gratis ongkir gak motong pada saat kita checkout. Sekarang makin parah aja jasa kirim gak bisa di ubah apakah ini teknik marketing supaya jasa kirim yg di miliki shoppee sendiri biar laku;Negatif
HEH!!! Tolong ya kembalikan seperti semula saja yang bisa milih jasa ekspedisi sendiri. Aneh bener shopee sekarang .... Ongkir jadi nambah + lemot sekali kerjanya... Kami jadi kecewa kalo gini terus... Reguler lah hemat lah, stres pokoknya yang buat ide bodoh gini malah mengecewakan pelanggan!!!!;Negatif
Bohong besar klo jasa kirim yg dipilih shopee lebih cepat dan lebih nyaman.Yg katanya bisa diubah di jasa kirim sebelum muncul no.resi omongkosong!!! Gk ada kata ubah Barang stuck disatu tempat gk bergerak seharian..bikin dongkol. Komplain lewat chat udh.. lwt email udh..gk digubris. 3x belanja pake pengiriman model baru gk cepat & gk nyaman...2 belanjaan masih semedi ditempat sortir..setelah belanjaan sampai ya sudahlah...mungkin jodoh kita sampe disini ya pee shopee;Negatif
Min tolong lah perbaiki lagi aplikasinya,saya udh lama pakai shopee,tapi akhir² ini server kadang suka down udh saya coba bolak balik pake wifi pake data tapi tetep aja lemot tolong di perbaiki lagi ya,yang pakai aplikasi ini kan bukan sedikit jumlah nya;Negatif
